id,media_type,outlet
401110800,tv,CBS
401110805,tv,SECN
401112253,tv,BTN
401110804,tv,CBS
401110799,tv,ESPN
401110799,radio,ESPNRM
401112224,tv,FOX
401112125,tv,ABC
401112461,tv,ABC
401112461,tv,ESPN2
401114195,tv,ESPN
401114215,tv,ESPN
401112463,tv,ESPN2
401114235,tv,ABC
401114235,tv,ESPN2
401110801,tv,ESPNU
401114155,tv,PAC12
401112131,tv,FS1
401112462,tv,ACCN
401112464,web,ACCNX
401112087,tv,FS1
401112160,tv,BTN
401112215,tv,ABC
401114327,tv,CBSSN
401119268,web,ESPN+
401119269,web,ESPN+
401119267,web,ESPN3
401117870,tv,ESPNU
401119266,web,ESPN3
401117509,tv,CBSSN
401112457,tv,ESPN
401112459,web,ACCNX
401112458,tv,ACCN
401110802,tv,SECN
401110803,tv,SECN
401112099,web,ESPN+
401114349,web,ESPN+
401116697,web,ESPN3
401114263,web,ESPN+
401121941,web,ESPN3
401121942,web,ESPN+
401112075,tv,CBSSN
401112460,tv,ESPNU
401110798,tv,SECN
401114266,web,ESPN3
401112148,tv,BTN
401117507,tv,ESPN2
401117508,tv,CBSSN
401117871,tv,ESPN
401112204,tv,FS1
401114156,tv,ESPN
401112465,tv,ESPN
401117512,tv,CBSSN
401112467,tv,ABC
401110806,tv,CBS
401110806,radio,ESPNRM
401112241,tv,ABC
401112117,tv,FOX
401110808,tv,ESPN
401112247,tv,ABC
401110809,tv,SECN
401112472,tv,NBC
401112193,tv,ESPN2
401114221,tv,FOX
401114226,tv,FS1
401117872,tv,ESPN2
401110807,tv,ESPN
401112108,web,ESPN+
401112161,tv,BTN
401112471,tv,ACCN
401110811,tv,SECN
401112100,tv,FS1
401117213,web,ESPN+
401119270,tv,ESPNU
401119271,tv,CBSSN
401112470,web,ACCNX
401114267,tv,NFL
401112469,tv,CBSSN
401112466,tv,ACCN
401112076,tv,ESPN
401112232,tv,ESPN2
401121943,web,ESPN+
401117873,tv,ESPNU
401114350,web,ESPN+
401114271,web,ESPN+
401121944,web,ESPN+
401121945,web,ESPN+
401121947,web,ESPN3
401114272,web,ESPN+
401114268,web,ESPN3
401114202,tv,PAC12
401112468,tv,ACCN
401110810,tv,SECN
401117513,tv,CBSSN
401114166,tv,ESPN
401117874,tv,ESPN
401117875,tv,ESPN
401117519,tv,CBSSN
401110816,tv,ESPN
401112216,tv,ABC
401112216,radio,ESPNRM
401110813,tv,SECN
401112101,tv,ABC
401110812,tv,CBS
401112269,tv,ESPNU
401114337,tv,NBC
401112137,tv,ABC
401112260,tv,ESPN
401114177,tv,FOX
401112194,tv,FOX
401114209,tv,ESPN
401112126,tv,FS1
401117878,tv,ESPNU
401114328,tv,CBSSN
401112473,web,ACCNX
401112088,tv,ESPN2
401119273,web,ESPN+
401119274,web,ESPN+
401119275,web,ESPN+
401121949,web,ESPN+
401119272,web,ESPN3
401112476,tv,ESPN
401117516,tv,CBSSN
401112077,tv,ESPN2
401112149,tv,BTN
401117877,tv,ESPNU
401110815,tv,SECN
401112475,tv,ACCN
401114276,web,ESPN+
401114274,web,ESPN3
401110814,tv,SECN
401112474,tv,ACCN
401114278,web,ESPN+
401117518,tv,ESPN2
401121950,tv,ESPN2
401112477,tv,ESPN
401121951,tv,ESPNU
401114186,tv,FS1
401112478,tv,ESPN
401117522,tv,CBSSN
401110822,tv,CBS
401112479,tv,ABC
401110817,tv,ESPN
401110819,tv,ESPN
401110819,radio,ESPNRM
401112118,tv,FOX
401114222,tv,NBC
401112195,tv,ABC
401114204,tv,PAC12
401112150,tv,ABC
401114157,tv,PAC12
401112481,tv,ACCN
401117881,tv,ESPN2
401117879,tv,ESPN2
401110821,tv,SECN
401119278,tv,ESPNU
401112480,web,ACCNX
401119276,web,ESPN+
401114343,web,ESPN3
401117214,tv,CBSSN
401119277,web,ESPN3
401119279,web,ESPN+
401117880,tv,ESPNU
401112089,tv,ESPN
401112482,tv,ACCN
401114280,web,ESPN+
401121952,web,ESPN+
401114281,web,ESPN3
401117520,tv,CBSSN
401110820,tv,ESPN2
401114279,web,ESPN+
401110818,tv,SECN
401117882,tv,ESPNU
401117523,tv,CBSSN
401121954,tv,ESPNU
401114210,tv,ESPN
401112248,tv,BTN
401114288,tv,CBSSN
401112483,tv,ESPN
401110824,tv,ESPN
401110828,tv,CBS
401112485,tv,ABC
401112119,tv,FOX
401112151,tv,BTN
401112226,tv,ABC
401110829,tv,ESPN
401110826,tv,ESPN
401110825,tv,SECN
401114196,tv,ABC
401114196,radio,ESPNRM
401114158,tv,PAC12
401117215,tv,ESPN2
401112102,tv,LHN
401112079,tv,FOX
401117887,tv,ESPN2
401117885,tv,ESPNU
401110830,tv,SECN
401112196,tv,ESPN2
401121955,web,ESPN+
401117886,tv,ESPNU
401119283,tv,CBSSN
401112488,tv,ACCN
401112484,web,ACCNX
401112090,tv,FS1
401119285,web,ESPN+
401119282,web,ESPN3
401119284,web,ESPN+
401114178,tv,PAC12
401121956,web,ESPN3
401117883,tv,CBSSN
401119281,web,ESPN3
401112489,web,ACCNX
401114289,tv,NFL
401112163,tv,BTN
401112486,tv,ACCN
401114286,web,ESPN+
401114292,web,ESPN3
401114351,web,ESPN+
401117884,tv,CBSSN
401117888,tv,ESPN2
401119286,web,ESPN+
401114187,tv,ESPNU
401114329,web,ESPN+
401114287,web,ESPN+
401110827,tv,SECN
401112487,tv,ACCN
401114169,tv,PAC12
401117527,tv,ESPNU
401117889,tv,ESPN
401114188,tv,ESPN2
401110831,tv,ESPN
401110833,tv,CBS
401110833,radio,ESPNRM
401112254,tv,FOX
401112490,tv,ACCN
401112110,tv,ABC
401112218,tv,ABC
401112227,tv,ABC
401114197,tv,ESPN
401114179,tv,FS1
401112132,tv,FOX
401112207,tv,ESPN
401112197,tv,ESPN2
401112091,tv,FS1
401114159,tv,PAC12
401112494,tv,ESPN
401114330,tv,CBSSN
401110835,tv,SECN
401112152,tv,BTN
401119288,web,ESPN3
401114298,web,ESPN+
401119292,web,ESPN+
401114344,web,ESPN3
401114293,web,ESPN+
401114294,tv,NFL
401114295,web,ESPN+
401112492,tv,ESPN2
401112493,tv,ACCN
401114170,tv,PAC12
401112164,tv,BTN
401117890,tv,CBSSN
401119289,web,ESPN+
401119290,web,ESPN+
401119291,web,ESPN+
401119287,web,ESPN3
401117892,tv,ESPNU
401112491,web,ACCNX
401110834,tv,SECN
401112103,tv,FS1
401117891,tv,ESPN2
401117893,tv,CBSSN
401121958,web,ESPN+
401121959,web,ESPN+
401117531,tv,ESPNU
401110832,tv,SECN
401114296,web,ESPN3
401117530,tv,ESPN2
401112080,tv,ESPN
401112080,radio,ESPNRM
401121960,tv,ESPNU
401117894,tv,ESPN2
401112496,tv,ACCN
401110838,tv,CBS
401114198,tv,FOX
401114198,radio,ESPNRM
401114227,tv,FOX
401110837,tv,ESPN
401112208,tv,ABC
401117897,tv,ABC
401112501,tv,NBC
401117896,tv,CBSSN
401117535,tv,CBSSN
401112104,tv,FS1
401112500,tv,ESPN
401117895,tv,ESPN2
401119294,tv,ESPNU
401119295,tv,CBSSN
401112243,tv,FOX
401112495,tv,ACCN
401110841,tv,SECN
401114300,web,ESPN+
401119293,web,ESPN+
401121962,web,ESPN3
401121961,tv,ESPNU
401114303,tv,NFL
401114331,tv,CBSSN
401114299,web,ESPN3
401112497,tv,ABC
401112497,radio,ESPNRM
401112127,tv,ESPN
401110836,tv,SECN
401112498,web,ACCNX
401114301,web,ESPN+
401117898,tv,ESPN2
401114171,tv,PAC12
401121963,web,ESPN+
401112165,tv,FS1
401110839,tv,SECN
401112499,tv,ACCN
401114189,tv,PAC12
401117216,tv,ESPN2
401117536,tv,ESPNU
401119297,tv,CBSSN
401119296,tv,ESPN2
401119298,tv,ESPN2
401121964,tv,ESPNU
401117899,tv,ESPN
401117900,tv,ESPN2
401114205,tv,FS1
401112209,tv,FOX
401110842,tv,CBS
401112235,tv,ABC
401112503,tv,ABC
401110845,tv,ESPN
401110845,radio,ESPNRM
401112092,tv,FOX
401112092,radio,ESPNRM
401110844,tv,ESPN
401112081,tv,FS1
401112198,tv,FOX
401111654,tv,ACCN
401112111,tv,ESPN
401112506,tv,ACCN
401117901,tv,CBSSN
401117541,tv,ESPN
401117902,tv,ESPNU
401114332,tv,CBSSN
401110843,tv,SECN
401112142,tv,ESPN2
401112249,tv,BTN
401112502,tv,ACCN
401112504,web,ACCNX
401114307,web,ESPN3
401114304,web,ESPN+
401114190,tv,PAC12
401121965,web,ESPN+
401112505,tv,ESPN2
401114160,tv,ABC
401112154,tv,FS1
401110847,tv,SECN
401121966,web,ESPN+
401114180,tv,PAC12
401117540,tv,CBSSN
401110848,tv,ESPN2
401110846,tv,SECN
401114353,tv,ESPNU
401117542,tv,ESPN2
401119299,tv,ESPNN
401119300,tv,ESPN2
401119301,tv,ESPNU
401119302,tv,ESPN2
401119303,tv,CBSSN
401112507,tv,ESPN
401114309,tv,CBSSN
401117547,tv,ESPN2
401110850,tv,ESPN
401112508,tv,ABC
401110849,tv,CBS
401110851,tv,ESPN
401114172,tv,ESPN
401114216,tv,FOX
401112199,tv,FOX
401112166,tv,ABC
401112082,tv,ABC
401112082,radio,ESPNRM
401110852,tv,CBS
401110852,radio,ESPNRM
401112244,tv,BTN
401112219,tv,FOX
401114338,tv,NBC
401117903,tv,CBSSN
401117904,tv,ESPN2
401112093,tv,FS1
401117545,tv,ESPN2
401112105,tv,FS1
401112112,tv,ESPN
401121968,tv,ESPNU
401114333,tv,CBSSN
401112510,web,ACCNX
401112133,tv,ESPN2
401112250,tv,BTN
401117905,tv,ESPNU
401117217,web,ESPN3
401121972,web,ESPN3
401121969,web,ESPN+
401121970,web,ESPN+
401119304,tv,CBSSN
401112511,web,ACCNX
401110854,tv,SECN
401112509,tv,ACCN
401117546,tv,ESPNU
401114231,tv,PAC12
401114310,web,ESPN+
401114311,web,ESPN+
401117544,tv,ESPN2
401110853,tv,SECN
401112512,tv,ACCN
401114161,tv,FS1
401114181,tv,FS1
401119305,tv,ESPN2
401119306,tv,ESPNU
401119307,tv,ESPNU
401119308,tv,ESPN2
401112513,tv,ESPN
401117550,tv,ESPN2
401110859,tv,ESPN
401112256,tv,FOX
401112256,radio,ESPNRM
401110857,tv,CBS
401110855,tv,ESPN
401114162,tv,ABC
401114173,tv,FS1
401112120,tv,FOX
401112120,radio,ESPNRM
401112236,tv,ABC
401112263,tv,FOX
401112167,tv,ESPN
401112083,tv,FS1
401110856,tv,SECN
401112514,tv,NBC
401112155,tv,BTN
401117909,tv,ESPNU
401117907,tv,ESPN2
401117549,tv,CBSSN
401112128,tv,ESPN2
401114217,tv,ABC
401121973,web,ESPN+
401117911,tv,CBSSN
401117906,tv,CBSSN
401119309,web,ESPN+
401117908,web,ESPN3
401112520,web,ACCNX
401183793,web,ESPN3
401121974,web,ESPN+
401112518,web,ACCNX
401112519,tv,ESPN2
401114317,tv,NFL
401114318,web,ESPN+
401112210,tv,BTN
401110862,tv,SECN Alt
401110858,tv,SECN
401114182,tv,PAC12
401112516,tv,ACCN
401114316,web,ESPN3
401121975,web,ESPN3
401121977,web,ESPN+
401114314,web,ESPN+
401112517,tv,CBSSN
401112113,tv,FS1
401117910,tv,ESPNU
401110860,web,SECN+
401110861,tv,SECN
401112515,tv,ACCN
401114206,tv,PAC12
401114191,tv,ESPN
401117551,tv,ESPN2
401119310,web,ESPN+
401119311,tv,ESPNU
401110863,tv,ESPN
401112200,tv,BTN
401117913,tv,ABC
401117554,tv,CBSSN
401112521,tv,ABC
401121978,web,ESPN+
401112138,tv,FOX
401112138,radio,ESPNRM
401119312,web,ESPN+
401119313,web,ESPN+
401119314,tv,CBSSN
401119315,tv,ESPNU
401110864,tv,CBS
401114232,tv,FOX
401112134,tv,ESPN
401117912,tv,ESPN
401112228,tv,FOX
401110869,tv,ESPN
401110869,radio,ESPNRM
401110870,tv,ESPN
401110870,radio,ESPNRM
401110867,tv,ABC
401110865,tv,CBS
401114192,tv,ABC
401112121,tv,FOX
401112237,tv,ABC
401112084,tv,ESPN
401110866,tv,SECN
401114199,tv,PAC12
401114212,tv,FOX
401112095,tv,FS1
401121980,web,ESPN+
401117915,tv,ESPNU
401114321,tv,CBSSN
401110868,tv,SECN
401112156,tv,FS1
401112168,tv,ESPN2
401112525,web,ACCNX
401114324,web,ESPN+
401114320,web,ESPN+
401114346,web,ESPN+
401114326,web,ESPN3
401117914,tv,CBSSN
401114322,tv,NFL
401114323,web,ESPN+
401112522,tv,ACCN
401112523,tv,ESPN2
401112221,tv,FS1
401110871,web,SECN+
401117917,tv,ESPNU
401121981,web,ESPN+
401117916,tv,ESPN2
401112524,tv,ACCN
401121982,tv,ESPNU
401117218,tv,CBSSN
401114163,tv,ESPN
401114183,tv,FS1
401117557,tv,ESPN2
401132973,tv,ABC
401132973,radio,ESPNRM
401132983,tv,FOX
401132981,tv,CBS
401132975,tv,ABC
401132975,radio,ESPNRM
401132974,tv,ABC
401132974,radio,ESPNRM
401132976,tv,ABC
401132984,tv,ESPN
401132982,tv,ESPN2
401127303,tv,ESPN
401128354,web,ESPN+
401128490,web,ESPN3
401128724,web,ESPN+
401127029,web,ESPN+
401127240,web,ESPN+
401128362,web,ESPN+
401126996,web,ESPN+
401126937,web,ESPN+
401127044,web,ESPN+
401127277,web,ESPN+
401127041,web,ESPN3
401127245,web,ESPN3
401128520,web,ESPN+
401128481,web,ESPN3
401128382,web,ESPN+
401128388,web,ESPN+
401128486,web,ESPN+
401127204,tv,ESPN2
401127014,web,ESPN+
401127268,web,ESPN+
401127304,web,ESPN+
401165357,web,ESPN+
401127428,web,ESPN+
401114250,tv,NFL NET
401127202,web,ESPN+
401126973,web,ESPN3
401127293,web,ESPN3
401128363,web,ESPN+
401128478,web,ESPN+
401128702,web,ESPN+
401127259,web,ESPN+
401127015,web,ESPN+
401127269,web,ESPN+
401127294,web,ESPN+
401127305,web,ESPN+
401128610,web,ESPN+
401127260,web,ESPN+
401127288,web,ESPN3
401126912,web,ESPN+
401126946,web,ESPN+
401126997,web,ESPN+
401127006,web,ESPN+
401128524,web,ESPN3
401127030,web,ESPN+
401127298,web,ESPN+
401127429,web,ESPN+
401128660,web,ESPN3
401128507,web,ESPN+
401127023,web,ESPN+
401127270,web,ESPN+
401128514,web,ESPN+
401128637,web,ESPN+
401128528,web,ESPN+
401127414,web,ESPN3
401127250,web,ESPN+
401128384,web,ESPN+
401126981,web,ESPN+
401127064,web,ESPN+
401127301,web,ESPN3
401126930,web,ESPN+
401128555,web,ESPN+
401126987,web,ESPN+
401126998,web,ESPN+
401127007,web,ESPN+
401127216,web,ESPN3
401128454,web,ESPN3
401126975,web,ESPN+
401127031,web,ESPN+
401128371,web,ESPN+
401128435,web,ESPN3
401128661,web,ESPN+
401128694,web,ESPN3
401128703,web,ESPN3
401128720,web,ESPN+
401126956,web,ESPN+
401127430,web,ESPN+
401128710,web,ESPN+
401127235,tv,ESPNU
401128652,tv,ESPNN
401136617,web,ESPN3
