coach_id,team_id,year
0,333,1902
1,2142,1928
1,258,1929
1,258,1930
2,344,1923
2,344,1924
3,2306,1940
3,2306,1941
3,2306,1946
4,218,2011
4,218,2012
4,103,2013
4,103,2014
4,103,2015
4,103,2016
4,103,2017
4,103,2018
4,103,2019
4,36,2020
4,36,2021
5,77,1964
5,77,1965
5,77,1966
5,77,1967
5,77,1968
5,77,1969
5,77,1970
5,77,1971
5,77,1972
5,2509,1973
5,2509,1974
5,2509,1975
5,2509,1976
6,2440,1946
6,2483,1947
6,2483,1948
6,2483,1949
6,2483,1950
7,2751,1975
7,2751,1976
7,251,1977
7,251,1978
7,251,1979
7,251,1980
7,251,1981
7,251,1982
7,251,1983
7,251,1984
7,251,1985
7,251,1986
7,2509,1987
7,2509,1988
7,2509,1989
7,2509,1990
8,195,2021
8,195,2022
9,242,1978
9,242,1979
9,242,1980
9,242,1981
9,242,1982
9,242,1983
10,150,1923
11,59,1920
11,59,1921
11,59,1922
11,59,1923
11,59,1924
11,59,1925
11,59,1926
11,59,1927
11,59,1928
11,59,1929
11,59,1930
11,59,1931
11,59,1932
11,59,1933
11,59,1934
11,59,1935
11,59,1936
11,59,1937
11,59,1938
11,59,1939
11,59,1940
11,59,1941
11,59,1942
11,59,1943
11,59,1944
12,2305,1920
13,68,1996
14,2305,1997
14,2305,1998
14,2305,1999
14,2305,2000
14,2305,2001
15,84,2016
15,84,2017
15,84,2018
15,84,2019
15,84,2020
15,84,2021
15,84,2022
16,251,1911
16,251,1912
16,251,1913
16,251,1914
16,251,1915
17,97,1973
17,97,1974
18,264,1920
18,25,1935
18,25,1936
18,25,1937
18,25,1938
18,25,1939
18,25,1940
18,25,1941
18,25,1942
18,25,1943
18,25,1944
19,2638,1981
20,275,1990
20,275,1991
20,275,1992
20,275,1993
20,275,1994
20,275,1995
20,275,1996
20,275,1997
20,275,1998
20,275,1999
20,275,2000
20,275,2001
20,275,2002
20,275,2003
20,275,2004
20,275,2005
20,275,2012
20,275,2014
21,152,2000
21,152,2001
21,152,2002
21,152,2003
21,152,2004
21,152,2005
21,152,2006
22,154,1956
22,154,1957
22,154,1958
22,154,1959
23,2509,1892
24,2649,2001
24,2649,2002
24,2649,2003
24,2649,2004
24,2649,2005
24,2649,2006
24,2649,2007
24,2649,2008
25,328,2009
25,328,2010
25,328,2011
25,328,2012
25,275,2013
25,275,2014
25,204,2015
25,204,2016
25,204,2017
25,328,2019
25,328,2020
26,2032,2014
26,2032,2015
26,2032,2016
26,2032,2017
26,2032,2018
26,2032,2019
26,2032,2020
26,328,2021
26,328,2022
27,328,2021
29,107,1938
29,2294,1939
29,2294,1940
29,2294,1941
29,2294,1942
29,2294,1946
29,2294,1947
29,2294,1948
29,2294,1949
29,107,1950
29,107,1951
29,107,1952
29,107,1953
29,107,1954
29,107,1955
29,107,1956
29,107,1957
29,107,1958
29,107,1959
29,107,1960
29,107,1961
29,107,1962
29,107,1963
29,107,1964
30,23,1965
30,23,1966
30,23,1967
30,23,1968
31,87,1931
31,87,1932
31,87,1933
31,152,1934
31,152,1935
31,152,1936
32,242,1918
32,225,1973
32,225,1974
32,225,1975
32,225,1976
32,225,1977
32,225,1978
32,225,1979
32,225,1980
32,225,1981
33,183,1927
33,183,1928
33,183,1929
34,70,1962
34,70,1963
34,70,1964
34,204,1965
34,204,1966
34,204,1967
34,204,1968
34,204,1969
34,204,1970
34,204,1971
34,204,1972
34,204,1973
34,204,1974
34,204,1975
35,189,1986
35,189,1987
35,189,1988
35,189,1989
35,189,1990
