year,team_id,stat_name,stat_value
2010,103,interceptions,19
2010,103,penalties,74
2010,103,rushingYards,1663
2010,103,turnovers,25
2010,12,interceptions,12
2010,12,penalties,91
2010,12,rushingYards,1712
2010,12,turnovers,22
2010,120,interceptions,10
2010,120,penalties,102
2010,120,rushingYards,1796
2010,120,turnovers,14
2010,127,interceptions,10
2010,127,penalties,87
2010,127,rushingYards,1978
2010,127,turnovers,19
2010,130,interceptions,15
2010,130,penalties,60
2010,130,rushingYards,3101
2010,130,turnovers,29
2010,135,interceptions,9
2010,135,penalties,67
2010,135,rushingYards,1623
2010,135,turnovers,17
2010,142,interceptions,10
2010,142,penalties,79
2010,142,rushingYards,2033
2010,142,turnovers,18
2010,145,interceptions,14
2010,145,penalties,68
2010,145,rushingYards,2491
2010,145,turnovers,24
2010,150,interceptions,19
2010,150,penalties,55
2010,150,rushingYards,1320
2010,150,turnovers,28
2010,151,interceptions,16
2010,151,penalties,103
2010,151,rushingYards,1546
2010,151,turnovers,30
2010,152,interceptions,14
2010,152,penalties,65
2010,152,rushingYards,1603
2010,152,turnovers,22
2010,153,interceptions,9
2010,153,penalties,99
2010,153,rushingYards,1634
2010,153,turnovers,23
2010,154,interceptions,10
2010,154,penalties,59
2010,154,rushingYards,1902
2010,154,turnovers,17
2010,158,interceptions,8
2010,158,penalties,109
2010,158,rushingYards,3466
2010,158,turnovers,24
2010,166,interceptions,9
2010,166,penalties,75
2010,166,rushingYards,1549
2010,166,turnovers,18
2010,167,interceptions,15
2010,167,penalties,79
2010,167,rushingYards,1296
2010,167,turnovers,31
2010,183,interceptions,8
2010,183,penalties,93
2010,183,rushingYards,1822
2010,183,turnovers,21
2010,189,interceptions,20
2010,189,penalties,72
2010,189,rushingYards,754
2010,189,turnovers,32
2010,193,interceptions,15
2010,193,penalties,77
2010,193,rushingYards,1376
2010,193,turnovers,24
2010,194,interceptions,13
2010,194,penalties,62
2010,194,rushingYards,2861
2010,194,turnovers,15
2010,195,interceptions,20
2010,195,penalties,73
2010,195,rushingYards,2125
2010,195,turnovers,32
2010,197,interceptions,14
2010,197,penalties,88
2010,197,rushingYards,2267
2010,197,turnovers,22
2010,2,interceptions,7
2010,2,penalties,78
2010,2,rushingYards,3987
2010,2,turnovers,17
2010,2005,interceptions,6
2010,2005,penalties,58
2010,2005,rushingYards,3985
2010,2005,turnovers,17
2010,2006,interceptions,14
2010,2006,penalties,65
2010,2006,rushingYards,1361
2010,2006,turnovers,22
2010,201,interceptions,12
2010,201,penalties,72
2010,201,rushingYards,1932
2010,201,turnovers,18
2010,202,interceptions,11
2010,202,penalties,57
2010,202,rushingYards,2820
2010,202,turnovers,19
2010,2032,interceptions,12
2010,2032,penalties,83
2010,2032,rushingYards,1789
2010,2032,turnovers,24
2010,204,interceptions,12
2010,204,penalties,72
2010,204,rushingYards,1435
2010,204,turnovers,16
2010,2050,interceptions,16
2010,2050,penalties,68
2010,2050,rushingYards,1827
2010,2050,turnovers,31
2010,2084,interceptions,23
2010,2084,penalties,60
2010,2084,rushingYards,1361
2010,2084,turnovers,33
2010,21,interceptions,14
2010,21,penalties,77
2010,21,rushingYards,2097
2010,21,turnovers,21
2010,2116,interceptions,11
2010,2116,penalties,71
2010,2116,rushingYards,2626
2010,2116,turnovers,18
2010,2117,interceptions,18
2010,2117,penalties,67
2010,2117,rushingYards,1269
2010,2117,turnovers,29
2010,213,interceptions,17
2010,213,penalties,52
2010,213,rushingYards,1853
2010,213,turnovers,21
2010,2132,interceptions,15
2010,2132,penalties,81
2010,2132,rushingYards,1880
2010,2132,turnovers,29
2010,218,interceptions,13
2010,218,penalties,71
2010,218,rushingYards,1803
2010,218,turnovers,26
2010,2199,interceptions,14
2010,2199,penalties,67
2010,2199,rushingYards,2080
2010,2199,turnovers,24
2010,221,interceptions,11
2010,221,penalties,87
2010,221,rushingYards,2154
2010,221,turnovers,22
2010,2226,interceptions,14
2010,2226,penalties,86
2010,2226,rushingYards,1127
2010,2226,turnovers,27
2010,2229,interceptions,14
2010,2229,penalties,106
2010,2229,rushingYards,2438
2010,2229,turnovers,21
2010,228,interceptions,14
2010,228,penalties,78
2010,228,rushingYards,1807
2010,228,turnovers,23
2010,2294,interceptions,6
2010,2294,penalties,64
2010,2294,rushingYards,1929
